epoch,step,name,value
1,1,loss,2.0375618934631348
1,2,loss,1.978324055671692
1,3,loss,1.9338712692260742
1,4,loss,1.871071696281433
1,5,loss,1.84036386013031
1,6,loss,1.7685472965240479
1,7,loss,1.7381197214126587
1,8,loss,1.7144240140914917
1,9,loss,1.677257776260376
1,10,loss,1.677311897277832
2,1,loss,1.6199244260787964
2,2,loss,1.6403844356536865
2,3,loss,1.6218680143356323
2,4,loss,1.5289510488510132
2,5,loss,1.579017996788025
2,6,loss,1.515281081199646
2,7,loss,1.4554722309112549
2,8,loss,1.4208893775939941
2,9,loss,1.4626141786575317
2,10,loss,1.4489983320236206
3,1,loss,1.3880099058151245
3,2,loss,1.3197113275527954
3,3,loss,1.3572678565979004
3,4,loss,1.35037362575531
3,5,loss,1.2984331846237183
3,6,loss,1.1943296194076538
3,7,loss,1.2503478527069092
3,8,loss,1.0814512968063354
3,9,loss,1.1402068138122559
3,10,loss,1.007086157798767
4,1,loss,1.1110299825668335
4,2,loss,1.0335817337036133
4,3,loss,1.0564860105514526
4,4,loss,1.0383661985397339
4,5,loss,1.0943466424942017
4,6,loss,0.9329904317855835
4,7,loss,0.8568873405456543
4,8,loss,0.9293976426124573
4,9,loss,0.9845400452613831
4,10,loss,0.7437257766723633
5,1,loss,0.9043951630592346
5,2,loss,0.8616012334823608
5,3,loss,0.7465904951095581
5,4,loss,0.7403344511985779
5,5,loss,0.844742476940155
5,6,loss,0.7573185563087463
5,7,loss,0.613681435585022
5,8,loss,0.7518561482429504
5,9,loss,0.6266940236091614
5,10,loss,0.7297506332397461
6,1,loss,0.5475956797599792
6,2,loss,0.6809785962104797
6,3,loss,0.7119439840316772
6,4,loss,0.5637057423591614
6,5,loss,0.6277603507041931
6,6,loss,0.4193316698074341
6,7,loss,0.5811876058578491
6,8,loss,0.5705164670944214
6,9,loss,0.6576453447341919
6,10,loss,0.6368104815483093
7,1,loss,0.5040196776390076
7,2,loss,0.4695401191711426
7,3,loss,0.4248034954071045
7,4,loss,0.5158253312110901
7,5,loss,0.5499085783958435
7,6,loss,0.4843703508377075
7,7,loss,0.4692607820034027
7,8,loss,0.5369005799293518
7,9,loss,0.44393622875213623
7,10,loss,0.539846658706665
8,1,loss,0.5020605325698853
8,2,loss,0.4431746006011963
8,3,loss,0.44675111770629883
8,4,loss,0.43358442187309265
8,5,loss,0.40340712666511536
8,6,loss,0.34704527258872986
8,7,loss,0.4409264028072357
8,8,loss,0.3651982545852661
8,9,loss,0.4052466154098511
8,10,loss,0.3983694911003113
9,1,loss,0.38790175318717957
9,2,loss,0.3443678617477417
9,3,loss,0.44610461592674255
9,4,loss,0.3779865503311157
9,5,loss,0.29982542991638184
9,6,loss,0.2452486753463745
9,7,loss,0.44207337498664856
9,8,loss,0.45569881796836853
9,9,loss,0.35587242245674133
9,10,loss,0.5365884900093079
10,1,loss,0.3948914706707001
10,2,loss,0.38913416862487793
10,3,loss,0.37762904167175293
10,4,loss,0.3671704828739166
10,5,loss,0.36236071586608887
10,6,loss,0.2650129199028015
10,7,loss,0.2848467230796814
10,8,loss,0.30371204018592834
10,9,loss,0.3386509418487549
10,10,loss,0.38015657663345337
